['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 842, 0.9155554, 364, 3, 384, 22]
['Car', 154, 0.93551314, 366, 2, 387, 19]
['Car', 96, 0.92984855, 411, 121, 454, 169]
['Car', 692, 0.9237982, 365, 3, 389, 23]
['Car', 296, 0.9279531, 395, 5, 420, 27]
['Car', 348, 0.9398525, 362, 14, 386, 34]
['Car', 758, 0.9209266, 432, 3, 457, 25]
['Car', 397, 0.9388727, 356, 37, 387, 68]
['Car', 832, 0.927903, 1178, 295, 1280, 380]
['Car', 72, 0.9255979, 366, 0, 386, 17]
['Truck', 608, 0.93174505, 373, 2, 399, 19]
['Car', 349, 0.9277288, 362, 14, 386, 35]
['Car', 872, 0.91049695, 362, 13, 385, 32]
['Car', 158, 0.92875683, 366, 2, 387, 20]
['Car', 108, 0.92283934, 361, 14, 388, 37]
['Truck', 298, 0.89818263, 396, 6, 421, 29]
['Car', 603, 0.93931586, 359, 7, 395, 43]
['Van', 744, 0.9369654, 428, 0, 453, 18]
['Car', 651, 0.9356482, 395, 11, 419, 36]
['Car', 23, 0.9219446, 570, 217, 638, 304]
['Car', 545, 0.92738795, 321, 117, 397, 222]
['Car', 281, 0.93112403, 146, 317, 297, 477]
['Car', 450, 0.91613936, 381, 10, 401, 25]
['Car', 345, 0.93874633, 362, 11, 385, 32]
['Car', 420, 0.92682624, 361, 4, 393, 44]
['Car', 386, 0.9266832, 362, 1, 389, 27]
['Car', 372, 0.93035126, 403, 176, 459, 241]
['Car', 205, 0.9241108, 347, 86, 395, 141]
['Car', 70, 0.91995555, 398, 6, 420, 27]
['Car', 467, 0.9298592, 387, 17, 408, 40]
['Car', 257, 0.9142547, 444, 18, 470, 41]
['Car', 672, 0.9413906, 393, 1, 420, 20]
['Car', 49, 0.92733103, 395, 3, 419, 25]
['Car', 224, 0.9253375, 336, 118, 394, 182]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Van', 1104, 0.93890506, 400, 21, 425, 46]
['Car', 1753, 0.92261434, 466, 55, 499, 83]
['Car', 966, 0.9392423, 0, 582, 61, 720]
['Car', 1644, 0.9267304, 395, 3, 415, 21]
